stat,value,year
008wolfRe,1042.6,28
008wolfFa,5.1,28
2UDrabbitNum,518.0,28
2UDrabbitEn,53.8,28
2UDrabbitRe,65.3,28
2UDrabbitFa,6.6,28
2UDwolfNum,3.0,28
2UDwolfEn,1591.7,28
2UDwolfRe,2253.7,28
2UDwolfFa,5.2,28
grassNum,566.0,29
grassEn,168.3,29
grassRe,129.4,29
grassFa,2.2,29
KDFwolfNum,17.0,29
KDFwolfEn,271.3,29
KDFwolfRe,547.2,29
KDFwolfFa,5.3,29
008rabbitNum,289.0,29
008rabbitEn,34.7,29
008rabbitRe,45.9,29
008rabbitFa,5.9,29
KDFrabbitNum,70.0,29
KDFrabbitEn,171.4,29
KDFrabbitRe,348.0,29
KDFrabbitFa,6.7,29
008wolfNum,6.0,29
008wolfEn,827.2,29
008wolfRe,1042.6,29
008wolfFa,5.1,29
2UDrabbitNum,540.0,29
2UDrabbitEn,53.2,29
2UDrabbitRe,65.5,29
2UDrabbitFa,6.5,29
2UDwolfNum,3.0,29
2UDwolfEn,1620.8,29
2UDwolfRe,2253.7,29
2UDwolfFa,5.2,29
grassNum,542.0,30
grassEn,170.9,30
grassRe,129.2,30
grassFa,2.2,30
KDFwolfNum,18.0,30
KDFwolfEn,261.4,30
KDFwolfRe,546.8,30
KDFwolfFa,5.3,30
008rabbitNum,281.0,30
008rabbitEn,35.6,30
008rabbitRe,45.7,30
008rabbitFa,5.9,30
KDFrabbitNum,70.0,30
KDFrabbitEn,191.5,30
KDFrabbitRe,347.9,30
KDFrabbitFa,6.7,30
008wolfNum,7.0,30
008wolfEn,778.6,30
008wolfRe,1042.8,30
008wolfFa,5.1,30
2UDrabbitNum,563.0,30
2UDrabbitEn,48.7,30
2UDrabbitRe,65.6,30
2UDrabbitFa,6.5,30
2UDwolfNum,4.0,30
2UDwolfEn,1462.1,30
2UDwolfRe,2253.2,30
2UDwolfFa,5.1,30
grassNum,536.0,31
grassEn,168.0,31
grassRe,129.1,31
grassFa,2.2,31
KDFwolfNum,19.0,31
KDFwolfEn,287.4,31
KDFwolfRe,547.4,31
KDFwolfFa,5.3,31
008rabbitNum,265.0,31
008rabbitEn,36.3,31
008rabbitRe,45.4,31
008rabbitFa,5.9,31
KDFrabbitNum,66.0,31
KDFrabbitEn,201.1,31
KDFrabbitRe,348.4,31
KDFrabbitFa,6.5,31
008wolfNum,7.0,31
008wolfEn,817.3,31
008wolfRe,1042.8,31
008wolfFa,5.1,31
2UDrabbitNum,565.0,31
2UDrabbitEn,47.0,31
2UDrabbitRe,65.8,31
2UDrabbitFa,6.3,31
2UDwolfNum,4.0,31
2UDwolfEn,1495.3,31
2UDwolfRe,2253.2,31
2UDwolfFa,5.1,31
grassNum,533.0,32
grassEn,167.1,32
grassRe,129.2,32
grassFa,2.2,32
KDFwolfNum,21.0,32
KDFwolfEn,261.4,32
KDFwolfRe,547.0,32
KDFwolfFa,5.3,32
008rabbitNum,272.0,32
008rabbitEn,37.5,32
008rabbitRe,45.0,32
008rabbitFa,5.9,32
KDFrabbitNum,67.0,32
KDFrabbitEn,202.5,32
KDFrabbitRe,348.3,32
KDFrabbitFa,6.6,32
008wolfNum,7.0,32
008wolfEn,824.5,32
008wolfRe,1042.8,32
008wolfFa,5.1,32
2UDrabbitNum,547.0,32
2UDrabbitEn,46.6,32
2UDrabbitRe,66.0,32
2UDrabbitFa,6.3,32
2UDwolfNum,4.0,32
2UDwolfEn,1536.8,32
2UDwolfRe,2253.2,32
2UDwolfFa,5.1,32
grassNum,523.0,33
grassEn,168.2,33
grassRe,129.2,33
grassFa,2.3,33
KDFwolfNum,21.0,33
KDFwolfEn,274.1,33
KDFwolfRe,547.0,33
KDFwolfFa,5.3,33
008rabbitNum,259.0,33
008rabbitEn,35.7,33
008rabbitRe,45.2,33
008rabbitFa,5.9,33
KDFrabbitNum,73.0,33
KDFrabbitEn,177.3,33
KDFrabbitRe,348.0,33
KDFrabbitFa,6.7,33
008wolfNum,8.0,33
008wolfEn,801.8,33
008wolfRe,1043.5,33
008wolfFa,5.1,33
2UDrabbitNum,536.0,33
2UDrabbitEn,45.8,33
2UDrabbitRe,66.1,33
2UDrabbitFa,6.2,33
2UDwolfNum,4.0,33
2UDwolfEn,1569.0,33
2UDwolfRe,2253.2,33
2UDwolfFa,5.1,33
grassNum,540.0,34
grassEn,165.7,34
grassRe,129.2,34
grassFa,2.3,34
KDFwolfNum,21.0,34
KDFwolfEn,285.3,34
KDFwolfRe,547.0,34
KDFwolfFa,5.3,34
008rabbitNum,242.0,34
008rabbitEn,36.3,34
008rabbitRe,45.1,34
008rabbitFa,5.9,34
KDFrabbitNum,72.0,34
KDFrabbitEn,181.9,34
KDFrabbitRe,348.0,34
KDFrabbitFa,6.7,34
008wolfNum,8.0,34
